root,collection,style,name,rel,thumb,hash
CommonContent,ChromaBeat,Shot Elements,ChromaBeat Four PiP Large Bottom Right,Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/Shot Elements/ChromaBeat Four PiP Large Bottom Right.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/Shot Elements/ChromaBeat Four PiP Large Bottom Right.png,ae41418d5cd576e6b9d38c61accd32f2
CommonContent,ChromaBeat,Shot Elements,ChromaBeat Four PiP Large Top Left,Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/Shot Elements/ChromaBeat Four PiP Large Top Left.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/Shot Elements/ChromaBeat Four PiP Large Top Left.png,017298e9aeafe20e6f893c5e262a7e72
CommonContent,ChromaBeat,Shot Elements,ChromaBeat Four PiP Large Top Right,Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/Shot Elements/ChromaBeat Four PiP Large Top Right.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/Shot Elements/ChromaBeat Four PiP Large Top Right.png,2ed0a6c47d9bb15f6fc4731544c88ff2
CommonContent,ChromaBeat,Shot Elements,ChromaBeat Four PiP Small Bottom Left,Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/Shot Elements/ChromaBeat Four PiP Small Bottom Left.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/Shot Elements/ChromaBeat Four PiP Small Bottom Left.png,6aff1c47fa7bf56ad70ca25706323ce6
CommonContent,ChromaBeat,Shot Elements,ChromaBeat Four PiP Small Bottom Right,Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/Shot Elements/ChromaBeat Four PiP Small Bottom Right.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/Shot Elements/ChromaBeat Four PiP Small Bottom Right.png,08236b3639fd6ae94dae6ef397d2841b
CommonContent,ChromaBeat,Shot Elements,ChromaBeat Four PiP Small Top Left,Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/Shot Elements/ChromaBeat Four PiP Small Top Left.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/Shot Elements/ChromaBeat Four PiP Small Top Left.png,9ceef1cd841fb9b1d244467ff72d7b3e
CommonContent,ChromaBeat,Shot Elements,ChromaBeat Four PiP Small Top Right,Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/Shot Elements/ChromaBeat Four PiP Small Top Right.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/Shot Elements/ChromaBeat Four PiP Small Top Right.png,39354a2a983f452cf7c8a94332877fb3
CommonContent,ChromaBeat,Shot Elements,ChromaBeat Two PiP Large Left A,Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/Shot Elements/ChromaBeat Two PiP Large Left A.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/Shot Elements/ChromaBeat Two PiP Large Left A.png,8246b2840b8a50b7e34be67879926f36
CommonContent,ChromaBeat,Shot Elements,ChromaBeat Two PiP Large Left B,Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/Shot Elements/ChromaBeat Two PiP Large Left B.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/Shot Elements/ChromaBeat Two PiP Large Left B.png,07fc2343ad1f378b9d6f7204e503a34c
CommonContent,ChromaBeat,Shot Elements,ChromaBeat Two PiP Left,Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/Shot Elements/ChromaBeat Two PiP Left.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/Shot Elements/ChromaBeat Two PiP Left.png,05908fcd1988b75d6caa02771bc7ac5a
CommonContent,ChromaBeat,Shot Elements,ChromaBeat Two PiP Long Left,Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/Shot Elements/ChromaBeat Two PiP Long Left.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/Shot Elements/ChromaBeat Two PiP Long Left.png,1a8445b8fb3e4971c5e2997ee73f3580
CommonContent,ChromaBeat,Shot Elements,ChromaBeat Two PiP Long Right,Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/Shot Elements/ChromaBeat Two PiP Long Right.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/Shot Elements/ChromaBeat Two PiP Long Right.png,5f66f9c80f8c3e70ffceccb6819ac4c2
CommonContent,ChromaBeat,Shot Elements,ChromaBeat Two PiP Right,Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/Shot Elements/ChromaBeat Two PiP Right.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/Shot Elements/ChromaBeat Two PiP Right.png,90b95c6bb1e0da7b4a338bf5056880fc
CommonContent,ChromaBeat,Shot Elements,ChromaBeat Two PiP Small Right A,Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/Shot Elements/ChromaBeat Two PiP Small Right A.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/Shot Elements/ChromaBeat Two PiP Small Right A.png,96fb816acc32ddc1b50ec1bbee24156f
CommonContent,ChromaBeat,Shot Elements,ChromaBeat Two PiP Small Right B,Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/Shot Elements/ChromaBeat Two PiP Small Right B.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/ChromaBeat/Shot Elements/ChromaBeat Two PiP Small Right B.png,db5589bc4d43f73a8e011b9eb80375eb
CommonContent,Minimalism,,Minimalism Background,Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Minimalism Background.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Minimalism Background.png,3dbaeb2d7a5159259016f20ccd7a04e1
CommonContent,Minimalism,,Minimalism Crawl,Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Minimalism Crawl.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Minimalism Crawl.png,9379aeddd6159396c02fbc322a8ac3c2
CommonContent,Minimalism,,Minimalism Four PiP,Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Minimalism Four PiP.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Minimalism Four PiP.png,e5b15f9fef5c76dd6028f3b6aedaabf7
CommonContent,Minimalism,,Minimalism Full Screen,Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Minimalism Full Screen.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Minimalism Full Screen.png,eab8a701c50033988c21d701e0b12ca6
CommonContent,Minimalism,,Minimalism List,Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Minimalism List.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Minimalism List.png,079d713f63caa3c675ce679ed23d8a27
CommonContent,Minimalism,,Minimalism Lower Third Full,Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Minimalism Lower Third Full.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Minimalism Lower Third Full.png,b61749249ad44cbd15f690f0c5e7af6d
CommonContent,Minimalism,,Minimalism Lower Third,Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Minimalism Lower Third.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Minimalism Lower Third.png,20d07f9c6c1146bc0733c33526aa9fad
CommonContent,Minimalism,,Minimalism PiP with Social,Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Minimalism PiP with Social.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Minimalism PiP with Social.png,175fa3e4b1444b2674478b8d9ede7fac
CommonContent,Minimalism,,Minimalism Quote,Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Minimalism Quote.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Minimalism Quote.png,d79a057c665ec84b57f2ae6ea52b60a4
CommonContent,Minimalism,,Minimalism Social,Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Minimalism Social.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Minimalism Social.png,79557d898c60590311f3acb84673347c
CommonContent,Minimalism,,Minimalism Three PiP,Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Minimalism Three PiP.nbtitle,thumbs/Titler3/CommonContent/broadcast/Library/Project Templates/Minimalism/Minimalism Three PiP.png,d57473114263eb3cf941dd7b5cbfa591
